Файл:prof22_54_58_065_812.107367 - время обработки 90 пакетов (документов: 1843594): 02:33:07.911, сброс в БД: 01:29:46.210 (58 % от общего времени)
Файл:prof22_55_01_073_812.80051 - пустой, пропускаю
Файл:prof22_55_09_051_812.5611 - время обработки 60 пакетов (документов: 1294941): 01:46:38.653, сброс в БД: 01:04:18.965 (60 % от общего времени)
Файл:prof22_57_25_048_812.31577 - пустой, пропускаю
Файл:prof22_57_55_079_812.80434 - пустой, пропускаю
Файл:prof22_59_10_046_812.80642 - пустой, пропускаю
Файл:prof23_02_15_065_812.81069 - пустой, пропускаю
Файл:prof23_10_42_097_812.33088 - пустой, пропускаю
Файл:prof23_16_42_045_812.82897 - пустой, пропускаю
Файл:prof23_19_51_034_812.83198 - пустой, пропускаю
Файл:prof23_46_06_047_812.37093 - пустой, пропускаю
Файл:prof23_50_27_188_812.22995 - время обработки 20 пакетов (документов: 524846): 00:42:29.492, сброс в БД: 00:25:36.322 (60 % от общего времени)
Файл:prof23_50_46_117_812.37515 - пустой, пропускаю
Файл:prof23_50_57_294_812.37519 - пустой, пропускаю
Файл:prof23_54_24_243_812.37795 - пустой, пропускаю
Общее - время обработки 10499 пакетов (документов: 85629596): 22:41:19.751, сброс в БД: 23:16:40.204 ( 60 % от общего времени)
